index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,Promoted,Promotion_Type
1747,402-5934848-4963539,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Shipped,1,INR,399.0,ANDIPATTI JAKKAMPATTI,TAMIL NADU,625512.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1748,404-3392472-8443503,2022-04-29,Cancelled,Amazon,Amazon.in,Expedited,J0341,J0341-DR-M,Western Dress,M,B099NQQ79L,Cancelled,0,INR,,MARGAO,GOA,403709.0,IN,,False,0,No Promotion
1749,408-5834570-5564310,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-XXL,Set,XXL,B09NQ3MPRM,Shipped,1,INR,597.0,LUCKNOW,UTTAR PRADESH,226022.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1750,405-8897181-5519553,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET171,SET171-KR-NP-L,Set,L,B0822SS99K,Shipped,1,INR,792.0,KOLKATA,WEST BENGAL,700101.0,IN,,False,0,No Promotion
1751,405-2055215-2082755,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0008,J0008-SKD-M,Set,M,B0894YTN3H,Shipped,1,INR,1065.0,CHANDIGARH,CHANDIGARH,160036.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1752,402-3570318-5723525,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET348,SET348-KR-NP-M,Set,M,B09QJ3RQBX,Shipped,1,INR,968.0,KARWAR,KARNATAKA,581301.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1753,402-0156022-5785928,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-S,Set,S,B09KXV6T8Q,Shipped,1,INR,626.0,LUCKNOW,UTTAR PRADESH,226022.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1754,405-5888545-1453956,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-XS,Set,XS,B09NQ4DD29,Shipped,1,INR,597.0,NEW DELHI,DELHI,110075.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1755,171-5717062-0793940,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0377,J0377-SKD-XL,Set,XL,B09QJ35BD6,Shipped,1,INR,1099.0,LUCKNOW,UTTAR PRADESH,226003.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1756,171-3901263-9461117,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET075,SET075-KR-DH-L,Set,L,B07THX6Z8S,Shipped,1,INR,648.0,FARIDABAD,HARYANA,121002.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,True,1,Free Shipping
